sentence	label
I love this brand and all the flavors available.  For me it is not just Better but perfect.  I never waste a can of broth anymore-- make exactly what I need.  For me, it tastes much better, and depending upon what I am making, I can make it as strong or as weak as I want. I introduced my adult children to it -- they love it too. Mushroom gravy on that steak anyone?  Yum Yum.	1
Had a chocolate concrete mixer and felt nauseous only hours after eating. 12 hours later and lots of vomiting.	0
Very good product.	1
beyond meat breakfast sandwich	0
I went and ordered a beef fajitas when I got home I laid down and started feeling nausea and vomiting the room begin feeling like it was spinning... No I didn't drink any alcohol never going back again	0
Spicy potato taco Ate a spicy potato soft taco and 5 minutes later I was throwing up. Just me	0
Our family loves to use this cheese to make cheese-flavored popcorn. We do a light coat of the popcorn with butter (so the powder sticks) then toss it around in a couple of tablespoons of this stuff, and it's awesome. Flavor is just perfect. We also sometimes use it to turn cream sauces into cheese sauces.	1
Last month my husband and I went there during Restaurant week and we ordered the calamari as our appetizer. We both were sick the next day, with all of the above symptoms. (didnt associate it to being the calamari because we ea there often). We had family members in town this past weekend and we took them there. Again, ordered the calamari and everyone is sick with the same symptoms after eating the calamari. My husband called the restaurant this morning and was asked did we order the calamari!!!!!!!!!!!!! Was told we were the 3rd complaint regarding getting sick after eating the calamari . They took down our number to call us back????????	0
Excellent flavor that enhances whatever cuisine you sprinkle it on.	1
just what I was looking for!	1
Each time I’ve had a serving of the Girl Scout peanut butter sandwich cookies (3 cookies) within an hour I’ve had a bad stomach ache and subsequent bathroom issues. Had an exceptionally bad episode after eating the Caramel DeLites (formerly Samoas). This year was the first time I’ve experienced illeffects after eating Girl Scout cookies. These were ordered from a friend’s daughter via the mail.	0
I love this tea, more like a wonderfull chai, I drink it all the time	1
Norovirus 7 of our group of 9 got sick within 24-48 hours. Vomiting, chills, body aches, diarrhea, no fever. Lasted 1-3 days. One of the group went to ER & was told norovirus	0
What can I say? I'm a cheap date...I love this stuff...well-chilled and slathered on hardboiled eggs in particular...I even add it to freshly made thin-crust pizza...it's relatively inexpensive and while this black version (like the red) obviously has some added dyes, the pop is nice, the flavor salty and I'll order again as long as the price remains the same...a fun treat to have on hand when I'm craving the pop and flavor of lumpfish caviar :-))	1
I put this cheese powder of so much stuff!!Popcorn, pasta, potatoes, ramen noodles, steamed veggies etc.I recommend combining the cheese powder with a bit of milk, butter and salt for the best cheesy noodles or potatoes:)I imagine this would be great with casseroles as well!Yummy! I highly recommend especially if you are a fan of kraft mac n cheese!	1
Should have got this years ago!  Absolutely love it!	1
Kids Mac and cheese with crispy chicken. My poor 7 yr old daughter was very sick 4 hours after eating.	0
Turkey leg? went to the fair thinking it was going to be a good day , turns out the turkey leg me and my bf had must’ve been bad. we got home and couple hours later we started having really bad diarrhea. i’m confused if it’s good poisoning or just my stomach cleaning it’s self out from the nasty turkey , we both had shared the one piece . He ate more , so i wouldn’t recommend getting the turkey leg	0
I am excited to begin using this product to create my creamy cheese sauce and to add to my macaroni and cheddar bake.  It is a lot more convenient than shredding and melting cheeses or cooking into a sauce.  Also, I think it would be a very good addition to some potato dishes to give them some pizzaz!	1
severe GI infection after eating mcchicken burger	0
Hardly up to par as Beluga or Sevruga, but sure is very good!  I like it on scrambled eggs or an omelet. Yum!  Recommended!	1
Me and my boyfriend shared four tapas dishes. Three were fish based and one was veggie which I ate more of. Within a few hours we both were feeling ill, hot and cold sweats. I was vomiting while sitting on the loo and my partner having bad stomach cramps and sitting on the loo. Not the best start toour holiday	0
