sentence	label
我觉得它的发霉面包我从昨晚醒来打嗝发霉的面包，并没有想到它什么，因为我很恶心，我吃了早餐，然后吃了汤和面包和奶油奶酪的百吉饼，然后我吐了整个厨房，很少警告	0
也就那样，不好吃	0
尚城小区里面，非常方便，环境好，服务态度好	1
食物不错，就是服务太差，点了这么多回就这次很不爽，小菜没有盒子包装还收包装费？说了提供餐具却没有筷子没有勺子送菜的不认识路竟然要我下去接他我勒个去无奈	0
鸡翅很一般五花肉泡菜还不如正一味的一半好吃呢就是送餐速度还不错	0
真难吃真是太难吃了	0
第二次来了，味道超级棒	1
评论了很多次了，对他们家米粉非常喜爱，口味棒棒哒	1
我吃了土耳其和加生菜番茄盐胡椒油醋和牛至大尺寸的巧克力饼干我整晚都有液体腹泻	0
我是年月日在这里吃过的。我和我的伴侣都只在那里吃了一天，大约小时后生病了。我们分享了洋葱圈，我吃了炸玉米饼，我的伴侣有椰子虾。我向环球汇报了这一点，他们基本上说他们的食物始终都是温度控制的，不可能来自他们。这是来自这家餐厅的。	0
和同事一直爱吃的米粉，以前家乐福没有开时，总去铁路局，现在方便多了	1
太慢了，送来都凉了，态度各种差	0
都不错，比较实惠吃起来味道也可以赞下	1
店里干净整洁，米粉真的是没话说，吃完非常舒服，不像很多家的米粉，吃完胃里会很难受	1
味道真心不错，值得推荐，要了一份菜，这样特别好吃	1
我和我的男朋友在今天月日下午点左右订购了一个汉堡包，现在我们都病得很严重。今天晚上点左右，我们的疾病（恶心、腹泻等）也开始了。像流感这样的疾病很不可能突然同时开始，但却是共同的标准。	0
这样的送餐速度，饿死两遍了	0
环境干净卫生，味道和铁路局的一样好吃。团的便宜两元挺不错的	1
真的是物美价廉，常来吃，值得推荐	1
口味金麦隆蛋糕店的脆皮泡芙，泡芙是当天新烤出来的的，奶油也很新鲜，吃起来口感特别好，已经回购好多次了，专门从宏大广场坐车跑到和田街，去买他们家的泡芙，每次都买四十五十个，今天买了个，店家还给多送了两个环境店内收拾的干净整洁。服务服务不错，三个小哥哥开的。等位不需要等位。	1
挺好的经常来吃米粉比较细	1
很好，每次都是去她们家买蛋挞，态度很好	1
送了三个多小时才送到，拆开之后披萨完全塌掉啦	0
就一句话，性价比不错，味道不错	1
我有一个培根鸡蛋和奶酪羊角面包与四分之一的南瓜甜甜圈和咖啡今天下午我已经感到恶心，头晕了一整天，现在碗问题今晚。我的肚子仍然疼着。	0
样子漂亮，口感不错，就是不送皇冠，别的地方都可以送的	1
这一刻我从素食潜水下生病了我在那里吃过分钟后症状开始	0
来过好多次了，米粉是不加胶的很好吃，酱料也够，就是稍微咸了点，团购很划算	1
三人餐吃的饱饱的，老公过生日，店家还细心的送了长寿面，谢谢谢谢	1
很赞，，两特别多，两个人没有吃完，	1
凉皮是厚的条，不麻酱少，不好吃	0
差评，超级慢，没有在规定时间送达，还要自己到店里去吃态度还超差	0
味道不错，味道清淡，适合老人吃。	1
送餐态度恶劣，非常非常不好	0
依旧那么好吃，每次下班馋了就会团一个	1
卤蛋忘了送，后面请补上。	0
我吃了腌制的鸡肉，我在家里煮了但它闻起来很老。我在左右吃了，之后没有太多等我开始在点分左右腹泻。	0
很不错，位置好找，学校门口，口味也不错。	1
不确定。吃了沙拉，个奶酪和奶酪鸡嫩在吃了几个小时后开始扔掉	0
两份饺子还不够我一个人吃呢疙瘩汤跟面汤似的麻辣烫不值	0
