sentence	label
很 不错 的 体验 越来越 擅长 找 这种 隐藏 的 小店 了	1
五花肉 拌 饭 和 平时 吃 的 拌 饭 差距 太 大 不 好吃 带子 粉丝 还 比较 好吃 团圆 土豆 土豆 藕片 根本 是 生 的 怎么 吃 怎么 吃	0
吃 了 好 几次 了 每次 配菜 都 感觉 有点 馊 但是 饭 还 可以 这次 吃 感觉 到 所有 菜饭 都 是 馊 的 以后 不点 了	0
很 好找 味道 好吃 分量 足够 还有 免费 的 小 汤圆 吃 太爽 啦 服务 也 很棒	1
我 想 问 为什么 有虫 吃 到 最后 真的 好 恶心	0
居然 会 吃 到 这么 长 一条 虫 恶心 死人 啦 我 都 已经 吃 了 两口 啦 巴 贝拉 你们 也 真够 可以 的 啊	0
老 顾客 了 每次 都 很 满意 菜品 分量 也 很 足	1
很 不错 挺 凉快 的 分量 有 点点 少 但 味道 比德 香苑 的 好吃 服务 热情 上菜 也 有点 慢	1
上班 每天 中午 都 点 外卖 昨天中午 吃 了 你家 的 东西 晚上 没 吃 今天 一直 拉肚子	0
就 这 晚上 不 知道 你们 卖 的 什么 东西 吃 了 拉肚子 难受 不 卫生	0
咖啡 很 好喝 服务态度 也 很 好	1
好 几次 来 吃 了 每次 都 吃 撑 了 回家	1
口味 非常 好 是 重庆 地道 的 老 火锅 服务 也 不错 年轻化 的 团队 下次 来 重庆 北站 一定 来 品尝 价格 也 非常 实惠 喔	1
吃 了 拉肚子 一点 当地 重庆 味道 都 没有	0
筷子 是 坏 的 有 份饭 里 有 头发	0
很棒 的 小店 老板 人 很 好 有 歌手 唱歌 可以 看到 观音桥 的 夜景 很 棒棒 哦 在 吧台 坐 老板 还会 跟 你 聊天	1
我 的 个 去 本想 印象 还 多 好 的 结果 饮料 都 快 喝完 了 才 发现 杯子 里面 有个 虫 巴起 我 也 是 醉 了	0
位置 好找 分量 足 非常 好吃 速度 快	1
好吃 不 贵 经济 实惠 下次 还会来 会带 朋友 过来 吃 服务态度 也 超好	1
里面 看到 一只 像 蜜蜂 的 变异 昆虫 真的 难受 硬着头皮 把 吃 的 全部 吐 了 出来 很 难受	0
