sentence	label
很 不错 挺 凉快 的 分量 有 点点 少 但 味道 比德 香苑 的 好吃 服务 热情 上菜 也 有点 慢	1
很棒 的 小店 老板 人 很 好 有 歌手 唱歌 可以 看到 观音桥 的 夜景 很 棒棒 哦 在 吧台 坐 老板 还会 跟 你 聊天	1
里面 看到 一只 像 蜜蜂 的 变异 昆虫 真的 难受 硬着头皮 把 吃 的 全部 吐 了 出来 很 难受	0
老 顾客 了 每次 都 很 满意 菜品 分量 也 很 足	1
上班 每天 中午 都 点 外卖 昨天中午 吃 了 你家 的 东西 晚上 没 吃 今天 一直 拉肚子	0
吃 了 拉肚子 一点 当地 重庆 味道 都 没有	0
我 的 个 去 本想 印象 还 多 好 的 结果 饮料 都 快 喝完 了 才 发现 杯子 里面 有个 虫 巴起 我 也 是 醉 了	0
吃 了 好 几次 了 每次 配菜 都 感觉 有点 馊 但是 饭 还 可以 这次 吃 感觉 到 所有 菜饭 都 是 馊 的 以后 不点 了	0
位置 好找 分量 足 非常 好吃 速度 快	1
很 不错 的 体验 越来越 擅长 找 这种 隐藏 的 小店 了	1
